Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-01-10,Bo,Komboya,,Mano,,,,they happy now that the medical team are really working hard to see the outbreak end,"no strnger is allow ,and hand washing is frequent","strangers are not allow,no body contact,no visiting of finural homes"
2015-01-06,Bo,Badjia,,Normiyama,1.0,Yes because the community members were allowed to offer prayers on the decease person.,,"They want government to reopen schools, when will the Ebola end? Women should be train to be part of the burial team, The community members need their social gathering.",Frequent and regular hand washing,Report all sick people to the health center
2015-01-07,Bo,Badjia,,Saaso,0.0,,Though there has been no death conducted by the burial team in this community but the delay of the burial team is of great concern.,Government should train community people to carry out their burial process.,Frequent and regular hand washing,Refering all sick people to the health centre
2015-01-08,Bo,Badjia,,Ngiehun,,,,"The reopening of schools, the reactivation of the trade fare, and the freedom of movement.",Frequent and regular hand washing,No public or social gathering
2015-01-09,Bo,Badjia,,Grima,,,,"The community members want veronical buckets and chlorine, and when will the Ebola virus end?",No Ebola cases in our community and all sick people have been refered to the health center,No body contact or hand shaking
2015-01-09,Bo,Badjia,,Jokibu,0.0,,The use of plastic bags to burrie their love one,All activities be it in the urban or rural have been stopped due to the Ebola virus,More veronical buckets are now available in the commnunity for proper and frequent hand washing,Childern are not allowed to play at night
2015-01-06,Bo,Badjia,,Ngeiyewoma,1.0,Because they don't want to be infected by the Ebola Virus,,That they should obey the bye laws to end the Ebola virus,People are willing to obey the bye laws.,No strangers are allowed to stay in the community
2015-01-07,Bo,Badjia,,Njandama,0.0,,Because the burial team don't wash dead bodies.,The community members expressed dissatisfaction of the current Ebola status in the country and ask when will the Ebola end?,Frequent and proper hand washing,"Only community members should stay in the comminty, no strangers at all."
2015-01-08,Bo,Badjia,,Ngumahun,0.0,,The delay of the burial team,The community members want to see Ebola free from Sierra Leone.,Referring all sick people to the health centre,No strangers are allowed to stay in the community
2015-01-09,Bo,Badjia,,Jawai,1.0,The community members are satisfied with the burial team because they don't want to be infected.,,They are more concerned about the end of the Ebola Virus in the country.,Frequent and proper hand washing,All sick people should be reported at the health centre for early treament.
2015-01-07,Bo,Badjia,,Njelehun,1.0,Because the burial team now do pray on their love ones and do know the grave side.,,The restriction of movement and the cost of living is very expensive now for them.,The community members have community mobilisers now in order to make sure that the action plan work effectively in the Jawai commuinty.,"Community members are obeying the bye laws in order to end ebola, eg No strangers are allowed to stay in the community"
2015-01-06,Bo,Badjia,,Dambala,0.0,,Because the dead bodies are not handle with respect niether care and the bodies are been chlorinated before burried.,Since the number of Ebola cases are on the decrease let the government try to reopen schools.,Effective implementation of the bye laws,No strangers are allowed to stay in the community till Ebola end.
2015-01-08,Bo,Badjia,,Njabahun,0.0,,"It was not easy for the community members to adapt to the new system but with the intervention of the mobilisers it has help them greatly, and they now know the grave side of their love ones.",Since the number of Ebola cases are on the decrease  they are appealing to government  to reduce some of the bye laws.,Effective implementation of the bye laws,Refering all sick people to the health centre
2015-01-06,Bo,Badjia,,Kpowabu,1.0,Yes because they want to be free from the Ebola virus.,,They want their children to go back to school so they are appealing to the government to reopen schools.,"At first, they were in the habit of hiding sick people. A man in Njagbahun carried a dead body from the health center to Njagbahun and was asked to pay a fine of five hundred thousand leones (le 500,000).","If anyone touch or wash dead body he/she wil pay a fine of five hundred thousand leones (le 500,000)"
2015-01-07,Bo,Badjia,,Kebawama,1.0,Yes because everyone now is an Ebola suspect because you cant tell the status of an individual by a mere look.,,The community members said they want to go back to their normal activities such as social gathering and freedom of movement.,The community members referred two girls to the health center who were seriously sick and have been recovered from the illness.,"If anyone is found organising social gathering, playing film show he/she will pay a fine of five hundred thousand leones and will be handed over to the police."
2015-01-08,Bo,Badjia,,Jullu,1.0,"Reason is that, by touching the dead body you might contact the virus if the person is Ebola positive.",,Animals are destroying our crops and the government said we should not eat them.,"No strangers are allowed, during the christmas holiday people came from Freetown to spend holiday but immediately they arrived the community members drove them.",Nobody should burried the dead or keep sick people if found he/she will pay the sum of five hunderd thousand leones.
2015-01-09,Bo,Badjia,,Pelewahun,1.0,"Reason been, we don't want our community to be infected by the Ebola Virus most especially when there is no train and qualified medical personnel in our community.",,The most common concern expressed by community members is the reopening of schools.,The biggest change is that the awareness in personal hygine and cleaning of the enviroment.,No commercial vehicle or bike is allowed after 7:00 pm if found wanting the person will pay a fine of five hundred thousand leones.
2015-01-06,Bo,Badjia,,Pendembu,1.0,Because the burial team practice safe and degnified burrial.,,"The closure of the sewa river by the chief, this has greatly affected them from getting food.",The misconceptions around Ebola has been corrected with the intervention of the SMAC mobilisers,Nobody should cross the river sewa that shared boundary with Kenema (Sembaru) and Ngelehun Badjia
2015-01-07,Bo,Badjia,,Bumpewo,1.0,Because the burial team practice safe and degnified burrial.,,"The closure of the sewa river by the chief, this has greatly affected them from getting food.",The effective implementation of the bye laws,No crossing of the sewa river that shares boundary with Kenema district (Sembaru)
2015-01-08,Bo,Badjia,,Pujehun,1.0,Yes because we as community members don't want to be infectect by the virus,,The most common concern expressed by community members is the when will the Ebola end ,Community members do visit the health center regularly now.,No stangers are allowed to stay in the community
2015-01-15,Bo,Badjia,,Jellu,,,,they are really tire of this ebola stuff,All sick people are now going t0o the health center,No body contact
2015-01-14,Bo,Badjia,,Kpetema,1.0,They feel atisfied with the new burial team,,The people are greatly concern about the reopennig of schools,The bye-laws are really active and effective in the community,No body contact
2015-01-13,Bo,Badjia,,Yorlluhun,1.0,They feel atisfied with the new burial team,,The people are greatly concern about the reopennig of schools,The bye-laws are really active and effective in the community,No public garthering
2015-01-14,Bo,Badjia,,Baama,1.0,They feel atisfied with the new burial team,,The government should supply chlorine to the community,There has been a frequent hand washing,No public garthering
2015-01-15,Bo,Badjia,,Sembehun,0.0,,The slow responce of the burial team,The reopning of schools so that their children will go back to school,Frequent Hand washing,No strangers are allowed to stay in the community
2015-01-16,Bo,Badjia,,Koindu,1.0,Its make the community to be safe from Ebola,,They said they are not visiting their relatives is a major concern,Frequent Hand washing,No public garthering
2015-01-13,Bo,Badjia,,Kojehun,1.0,They feel atisfied with the new burial team,,Ebola have cause hardship and shortage of food,There has been a great awereness of ebola in the society and all sick people are visiting the health center,No public garthering
2015-01-14,Bo,Badjia,,Madina,,,,they want ebola to end now so that they could go back to their normal business,The bye-laws are really active and effective in the community,No public garthering
2015-01-15,Bo,Badjia,,Kpaku,,,,To have a burial team at chiefdom level,The bye-laws are really active and effective in the community,No body contact
2015-01-16,Bo,Badjia,,Faala,1.0,Family members were allowed to pray on the corps ,,The reopening of schools,The bye-laws are really active and effective in the community,All burials are handle by the burial team
2015-01-14,Bo,Badjia,,Kugbahun,1.0,They feel atisfied with the new burial team,,They want the ebola to end so that things will go back normal,There have been a regural community cleaning,No touching of dead body
2015-09-01,Bo,Bagbe,,Ballie,1.0,it will help them not to contact ebola,,They need buckets and soap to wash their hands,People are now going to the health center for test,No eating of bush meat
2015-01-06,Bo,Bagbe,,Gbonjema,0.0,,Because there is no respect for the dead by the burial team.,The reopening of schools for their children to go back to school,Regular referals of sick people to the health centre,Refering all sick people to the health centre
2015-01-09,Bo,Bagbe,,Njala Kendima,0.0,,Because they did not take proper care of the death.,Asking when schools will reopen.,Community people do abide by the laws.,No strangers are allowed
2015-01-07,Bo,Bagbe,,Kondu,1.0,They buried accordance with the(S.D.M.B),,When will Ebola end?,Hand washing is a regular practice.,Avoid body contact
2015-01-06,Bo,Bagbo,,Momajoe,1.0,Prevent from them,,That Restless Development should provide credict for  the champoin.,The  burial team are really coparating.,No stranger is allowed to enter their commnitiy with pass/ID card.
2015-01-08,Bo,Bagbo,,Maniwa,1.0,To iradicate Ebola in our country,,"They want Ebola to end in sierra Leone, and school to reopen now.",The community are really working to toward the by-law.,
2015-01-07,Bo,Bagbo,,Folla,1.0,Yes because this will help to pevent them.,,Restlees should provide phone for the village champion.,Sick people now report to health center for themsevels.,No new byelaws have been developed by community.
2015-01-09,Bo,Bagbo,,Mokebay ,1.0,Avoid the spread of the virus,,They want to see Ebola come to an END.,"They are afraid to against the bye-laws in the community,",No new byelaws have been developed by community.
2015-01-06,Bo,Bagbo,,Madina,1.0,It prevent them forbthe virus.,,,,
2015-01-08,Bo,Bagbo,,Mano Yorgbo,,,,"No Freedom of movement, Because of ebola.",The community people are happy about improvmnt in the burial activity.,"No accommodation of strangers, Frequent hand washing No community burial Issolation of sick person"
2015-01-09,Bo,Bagbo,,Mondorkor,,,,"No Freedom of movement,to the other neibouring community ,No business for livelihood.",They are happ with the Burial practices as they are now allowed to dress or coffen their dead ones.,"No accommodation of strangers, Frequent hand washing No community burial Issolation of sick person"
2015-01-06,Bo,Bagbo,,Tokpombu,1.0,proper burial practices.,,The importance of bye laws and the practice of the safe measures have drastically occure in the reduction of new cases of ebola.,,"No accommodation of strangers, Frequent hand washing No community burial Issolation of sick person or to pay a fine of five hunderd thousand leones."
2015-01-08,Bo,Bagbo,,Dandabu,,,,To see school reopen at the end of January,Acceptance and practice of the actio plan.,
2015-01-09,Bo,Bagbo,,Bum Kaku,,,,,The hand washing method  is the bigest chang in thecomunity.,No new bye law developed
2015-01-07,Bo,Bagbo,,Kenema,1.0,The body was handle with care and respect,,To want to when school will reoped,The community practice the action plan,No new bye law developed
2015-01-06,Bo,Bagbo,,Tokpombu 2,1.0,Because the community were allowed to pray on their corps from a distances.,,If there is medication for Ebola. And after ebola they can eat bush meat,All burials in the community was conducted by the burial team.,Check points  for ebola screening implemented all death and sick people are reported to Ebola committee.
2015-01-07,Bo,Bagbo,,Gbaleh,1.0,They are happy because they can paticipate in the burial activities.,,When School are going to re open.,The implementation of bye law.,"No accommodation of strangers, Implemented Ebola check points Implmented"
2015-01-08,Bo,Bagbo,,Jimmi,1.0,"proper burial practices. By the Ebola team, ",,When is ebola going to end.,Full implementation of bye laws,"Ebola Chek point implemented,No accommodation of strangers."
2015-01-09,Bo,Bagbo,,Senehun Ngola,1.0,Community paicipation now in burial services.,,Why the Government should local market.,Full implementation of bye laws,"No accommodation of strangers,all sik and death people should be reportd to health centre."
2015-01-06,Bo,Bagbo,,Mattru,1.0,Improvement in the burial team services.,,Government Need to do some thing to end Ebola,Full implementation of bye laws,
2015-01-07,Bo,Bagbo,,Bandajuma,1.0,"proper burial practices. By the Ebola team, ",,When is ebola going to end.,Their Concern is that ebola is real and they joint hands together to fight ebola.,No new bye law Developed
2015-01-08,Bo,Bagbo,,Niagorehun,0.0,,They burial team will only lay bodi in the grave and the do the rest,To jointly pray that the bola Evirus come to an end.,To follow the bye lows to end ebola.,No new bye law developed
2015-01-09,Bo,Bagbo,,Kpetewoma,0.0,,The burial team dose not come on time.,To do their best to end Ebola by keeping the necessary bue laws.,Community involvemnt in the burial exercise  Thire dead families are now handle with care,No stranger must enter  their community after 7pm 
2015-01-06,Bo,Bagbo,,Futa,1.0,Poper care taking of dad body.,,How can you know if some ne has Ebola.,Sick peole must be reported to the health centre.,No one is allowed to attend any Burial services.
2015-01-08,Bo,Bagbo,,Ngegboma,1.0,Good care,,,Sick eople are now reported to the hospital.,"Sick persons must go to the health facility, No hunting, No hand shaking, No Accommodation of strangers."
2015-01-07,Bo,Bagbo,,Nyandehun,,,,"Who brings Ebola in the contry, When Ebola Will finish.","Isolation of sic people, Sickpeople must be reported to the hospital.","No toching or washinf of dead body, No eneing of vehicles after 7mp, No public gathering."
2015-01-09,Bo,Bagbo,,Baoma,,,,When Ebola is going to end,The awareness of the community people is Now increased on Ebola.,Secret Society
2015-01-06,Bo,Bagbo,,Senehun Somba,0.0,,LateArrival  of  the burial team,"Late coming of burial team,Traninig of burial team at chief dom level.",Increase in the awarenss to Ebola Issues.,Safe burial Services .
2015-01-09,Bo,Bagbo,,Ngolapon,,,,"Backwarnss in Edcation, increase in Teenage pregnancy.",Increase in the awareness to Ebola issue,"No Hand shaking,"
2015-01-08,Bo,Bagbo,,Mokoba,,,,"No Schooling their children, Increase in teenage pregnancy.",Increase in awareness of Ebola issue.,Encorage Community child birth attendance to do child birth delivery.
2015-01-09,Bo,Bagbo,,Ndeima,,,,"Backwarnss in Edcation, increase in Teenage pregnancy.",Increase in the awareness to Ebola issue,"No Hand shaking,"
2015-01-08,Bo,Bagbo,,Bumpewo,,,,"No Schooling their children, Increase in teenage pregnancy.",Increase in awareness of Ebola issue.,Encorage Community child birth attendance to do child birth delivery.
2015-07-01,Bo,Bagbwe,,Sami,,,,The government should provides malaria medicines to the rural community,The action plan is really working to fight against Ebola,No bush meat eating
2015-01-06,Bo,Bagbwe,,Buma,,,,"Their children are not benefiting from the radio teaching, besides the government should close their boundary with Gunea and Liberia.",Community members are willing to report all their health stastus to the health center.,"Using the ABC method, No eating of bush meat"
