Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2015-02-03,Kono,Gbomoti,Komende,Sakrim,107.0,155.0,262,103.0,192.0,295,2.0,5.0,4.0,0.0,1.0,2.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-12-16,Kono,,Sandor,Yardu Sandor,107.0,155.0,262,103.0,192.0,295,5.0,5.0,8.0,0.0,6.0,4.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2015-02-04,Pujehun,Kpaka,Nyangoehun,Soso,84.0,115.0,199,84.0,112.0,196,2.0,4.0,4.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Pujehun,Soro Gbema,Mano River,Zozo,84.0,115.0,199,84.0,112.0,196,2.0,4.0,4.0,0.0,0.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Kono,Pesseh,Ngombahun,Kpanga Kabondeh,80.0,111.0,191,67.0,128.0,195,2.0,5.0,4.0,2.0,0.0,2.0,,1,5.0,0.0,3.0,1.0,5.0,0.0,3.0,2.0,9.0,2.0,4.0,2.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0
2014-12-16,Kono,,Tankorio,Sukudu,80.0,111.0,191,67.0,128.0,195,7.0,5.0,8.0,3.0,4.0,1.0,,1,5.0,0.0,3.0,1.0,5.0,0.0,3.0,2.0,9.0,2.0,4.0,2.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0
2015-02-05,Kono,Soro Gbema,Zombo 1,Fanima 2,48.0,137.0,185,36.0,108.0,144,2.0,4.0,4.0,2.0,1.0,2.0,,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,Kono,,Gbense,Penduma,48.0,137.0,185,36.0,108.0,144,5.0,4.0,8.0,3.0,4.0,3.0,,0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Kono,Pesseh,Mokenji,Kpanga Kabondeh,75.0,108.0,183,64.0,83.0,147,2.0,4.0,4.0,2.0,2.0,2.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,Kono,,Tankorio,Kania,75.0,108.0,183,64.0,83.0,147,4.0,4.0,7.0,2.0,4.0,2.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
